date,mmm yy,week no
5/1/2024,24-May,W18
5/2/2024,24-May,W18
5/3/2024,24-May,W18
5/4/2024,24-May,W18
5/5/2024,24-May,W19
5/6/2024,24-May,W19
5/7/2024,24-May,W19
5/8/2024,24-May,W19
5/9/2024,24-May,W19
5/10/2024,24-May,W19
5/11/2024,24-May,W19
5/12/2024,24-May,W20
5/13/2024,24-May,W20
5/14/2024,24-May,W20
5/15/2024,24-May,W20
5/16/2024,24-May,W20
5/17/2024,24-May,W20
5/18/2024,24-May,W20
5/19/2024,24-May,W21
5/20/2024,24-May,W21
5/21/2024,24-May,W21
5/24/2024,24-May,W21
5/23/2024,24-May,W21
5/24/2024,24-May,W21
5/25/2024,24-May,W21
5/26/2024,24-May,W22
5/27/2024,24-May,W22
5/28/2024,24-May,W22
5/29/2024,24-May,W22
5/30/2024,24-May,W22
5/31/2024,24-May,W22
6/1/2024,24-Jun,W22
6/2/2024,24-Jun,W23
6/3/2024,24-Jun,W23
6/4/2024,24-Jun,W23
6/5/2024,24-Jun,W23
6/6/2024,24-Jun,W23
6/7/2024,24-Jun,W23
6/8/2024,24-Jun,W23
6/9/2024,24-Jun,W24
6/10/2024,24-Jun,W24
6/11/2024,24-Jun,W24
6/12/2024,24-Jun,W24
6/13/2024,24-Jun,W24
6/14/2024,24-Jun,W24
6/15/2024,24-Jun,W24
6/16/2024,24-Jun,W25
6/17/2024,24-Jun,W25
6/18/2024,24-Jun,W25
6/19/2024,24-Jun,W25
6/20/2024,24-Jun,W25
6/21/2024,24-Jun,W26
6/24/2024,24-Jun,W25
6/23/2024,24-Jun,W26
6/24/2024,24-Jun,W26
6/25/2024,24-Jun,W26
6/26/2024,24-Jun,W26
6/27/2024,24-Jun,W26
6/28/2024,24-Jun,W26
6/29/2024,24-Jun,W26
6/30/2024,24-Jun,W27
7/1/2024,24-Jul,W27
7/2/2024,24-Jul,W27
7/3/2024,24-Jul,W27
7/4/2024,24-Jul,W27
7/5/2024,24-Jul,W27
7/6/2024,24-Jul,W27
7/7/2024,24-Jul,W28
7/8/2024,24-Jul,W28
7/9/2024,24-Jul,W28
7/10/2024,24-Jul,W28
7/11/2024,24-Jul,W28
7/12/2024,24-Jul,W28
7/13/2024,24-Jul,W28
7/14/2024,24-Jul,W29
7/15/2024,24-Jul,W29
7/16/2024,24-Jul,W29
7/17/2024,24-Jul,W29
7/18/2024,24-Jul,W29
7/19/2024,24-Jul,W29
7/20/2024,24-Jul,W29
7/21/2024,24-Jul,W30
7/24/2024,24-Jul,W30
7/23/2024,24-Jul,W30
7/24/2024,24-Jul,W30
7/25/2024,24-Jul,W30
7/26/2024,24-Jul,W30
7/27/2024,24-Jul,W30
7/28/2024,24-Jul,W31
7/29/2024,24-Jul,W31
7/30/2024,24-Jul,W31
7/31/2024,24-Jul,W32
